,Янв_R,Фев_R,Мар_R,Апр_R,Май_R,Июн_R,Июл_R,Авг_R,Сен_R,Окт_R,Ноя_R,Дек_R,Year_Sum_R,Sum_Mar-May_R,Sum_Jun-Jul_R,Sum_Sen-Nov_R,Янв_t,Фев_t,Мар_t,Апр_t,Май_t,Июн_t,Июл_t,Авг_t,Сен_t,Окт_t,Ноя_t,Дек_t,T_год_ср,T_год_сумм,Mean_Mar-May_T,Mean_Jun-Jul_T,Sum_Mar_Aug_T,ГТК,Зерновые т/га,Зерн и зернобоб т/га,Масличные т/га,Масличные 1 т/га,Зернобоб 1 т/га,Зерн и зернобоб 1 т/га,Картофель т/га
2000.0,41.9,71.0,39.3,25.8,55.6,87.9,48.2,58.7,33.5,34.4,22.2,68.2,586.7,120.69999999999999,136.10000000000002,90.10000000000001,-7.7,-4.5,-2.2,8.5,9.7,15.8,19.6,16.0,9.7,6.7,-1.1,-6.0,5.375000000000001,1978.975,5.333333333333333,17.700000000000003,2065.1,1.2632944228274967,1.3367793067409859,1.3389056962572392,4.36,0.48,1.6800000000000002,1.35,12.80048394192697
2001.0,49.0,76.2,61.0,26.7,48.4,90.5,19.2,60.6,23.4,60.7,63.5,38.9,618.0999999999999,136.1,109.7,147.6,-6.0,-9.8,-5.1,8.7,10.6,15.7,22.0,15.6,11.7,4.1,-1.6,-13.4,4.375000000000001,1619.9499999999998,4.733333333333333,18.85,2068.1,1.0674603174603174,1.459647923431892,1.4646740965889902,8.235294117647058,0.85,1.8800000000000001,1.47,11.779490445859874
2002.0,45.8,77.7,42.8,21.1,39.3,39.7,7.0,29.0,32.6,88.5,67.7,52.0,543.2,103.19999999999999,46.7,188.8,-6.5,-2.6,0.3,4.9,11.1,16.4,21.5,16.2,10.9,1.0,-3.4,-14.3,4.625,1698.8499999999997,5.433333333333334,18.95,2161.1,0.6465177398160314,0.9868173093700925,0.9901533978918502,4.08,0.43,1.41,1.35,8.592919540229886
2003.0,45.8,18.8,31.0,22.1,38.0,69.6,27.1,128.0,51.8,46.5,26.7,52.2,557.6,91.1,96.69999999999999,125.0,-10.7,-10.2,-5.0,2.9,13.2,12.8,20.4,16.4,10.7,5.2,0.3,-2.6,4.45,1656.7500000000002,3.6999999999999997,16.6,1866.0,1.4263038548752835,1.006710936713955,1.0025157232704403,3.428571428571429,0.55,1.81,1.7899999999999998,11.084930139720559
2004.0,68.8,40.6,23.5,67.9,59.2,70.0,131.1,66.4,55.4,53.2,35.9,54.0,726.0,150.60000000000002,201.1,144.5,-10.1,-9.1,-1.2,2.4,10.7,14.8,18.9,17.4,12.1,5.2,-2.2,-4.5,4.533333333333333,1684.325,3.9666666666666663,16.85,1935.8000000000002,1.7235002255299952,1.0636277639824998,1.0699355432780846,5.478260869565217,0.6900000000000001,1.44,1.19,8.887650933040614
2005.0,56.0,19.1,52.8,21.4,50.1,77.2,54.5,67.6,36.9,21.4,29.3,58.1,544.3999999999999,124.29999999999998,131.7,87.6,-4.3,-10.2,-8.0,4.9,13.2,15.7,18.7,16.4,11.9,5.2,1.5,-7.0,4.833333333333333,1792.05,3.3666666666666667,17.2,1867.3000000000002,1.2573561703996488,1.1043152866242039,1.1021830004644682,5.178571428571428,0.5700000000000001,1.24,1.16,12.64747774480712
2006.0,39.7,18.9,28.0,34.4,56.4,44.9,95.7,103.5,63.2,81.8,38.7,45.1,650.3000000000001,118.8,140.6,183.7,-11.8,-16.7,-6.8,4.3,11.0,18.2,17.1,16.5,13.2,4.9,-0.4,0.9,4.2,1573.025,2.8333333333333335,17.65,1846.8000000000002,1.5951754385964911,1.4090637625153697,1.398488194326482,2.3499999999999996,0.26,1.23,1.42,12.959595340282037
2007.0,60.6,24.4,26.6,19.0,59.0,55.4,101.9,48.3,65.4,55.6,99.1,14.8,630.1,104.6,157.3,220.1,-4.4,-15.5,3.1,4.7,14.1,15.1,18.2,18.8,10.9,6.1,-2.8,-3.1,5.433333333333334,2035.9250000000002,7.3,16.65,2274.2000000000003,1.4267185473411155,1.722943889315911,1.7284857571214396,5.279069767441861,0.72,1.95,1.75,13.421671388101984
2008.0,36.1,46.8,38.9,20.1,22.9,67.0,132.4,61.3,46.3,58.9,50.4,35.4,616.5,81.9,199.4,155.6,-6.9,-3.0,-0.1,6.7,10.5,14.7,18.5,16.5,9.6,7.8,1.7,-2.2,6.1499999999999995,2263.3500000000004,5.7,16.6,2049.4,1.5703211517165006,1.6725851571499093,1.6641713823767177,3.3548387096774195,0.58,1.49,1.7600000000000002,12.666342557965594
2009.0,55.1,27.9,37.4,30.6,46.2,51.1,64.9,85.7,46.9,75.1,87.0,54.2,662.1,114.2,116.0,209.0,-6.6,-6.3,-3.0,2.2,12.2,16.9,18.2,15.7,12.8,4.3,1.1,-7.9,4.966666666666666,1831.9249999999997,3.7999999999999994,17.549999999999997,1909.1,1.2963940193491645,1.849228254948248,1.851197119711971,1.526315789473684,0.29,2.07,1.89,15.713173652694614
2010.0,18.2,51.3,34.6,31.0,52.5,124.7,24.9,150.7,90.9,58.4,111.7,81.6,830.5,118.1,149.6,261.0,-15.7,-10.9,-3.9,5.3,15.4,17.1,24.0,18.9,10.7,3.2,0.2,-11.0,4.441666666666667,1648.9750000000001,5.6000000000000005,20.55,2358.4,1.7177700348432052,1.06024405908799,1.0676716917922948,3.721518987341772,0.49000000000000005,1.98,1.3699999999999999,8.487660862982588
2011.0,41.0,19.6,37.9,27.4,34.2,36.2,76.9,51.5,127.2,46.3,53.7,74.9,626.8000000000001,99.5,113.10000000000001,227.2,-10.3,-14.1,-3.5,4.1,12.3,17.2,22.1,17.6,11.2,6.1,-0.5,-1.2,5.083333333333334,1897.7749999999999,4.3,19.65,2142.5,1.351575456053068,1.589149377593361,1.5884825217215597,9.5,0.8699999999999999,1.56,1.61,14.768793774319066
2012.0,39.2,20.5,43.9,61.9,49.6,176.1,27.5,73.8,114.8,114.5,80.9,56.1,858.8,155.4,203.6,310.20000000000005,-7.8,-12.6,-5.8,5.0,12.7,16.3,19.4,16.3,12.0,5.3,0.4,-11.4,4.1499999999999995,1544.7499999999998,3.9666666666666663,17.85,1959.6,1.9200347674923945,1.683574771562291,1.6939647766323023,4.666666666666667,0.42000000000000004,2.0300000000000002,1.73,15.493694421988682
2013.0,24.0,53.5,45.1,27.3,56.9,16.6,70.1,17.8,73.3,50.3,106.2,47.9,589.0,129.3,86.69999999999999,229.8,-9.7,-5.4,-10.3,4.1,14.4,19.3,19.1,17.5,10.3,5.7,3.0,-2.5,5.458333333333335,2008.65,2.733333333333333,19.200000000000003,1963.7,0.9706368899917286,1.34099886492622,1.33253829321663,5.25,0.67,1.21,1.35,15.83088101725704
2014.0,31.9,26.4,27.8,14.2,40.5,53.9,43.9,54.3,73.2,49.3,21.4,65.7,502.5,82.5,97.8,143.9,-10.2,-2.6,0.2,4.9,14.2,15.8,19.8,18.4,11.6,2.4,-1.7,-4.7,5.675,2087.6500000000005,6.433333333333334,17.8,2251.6000000000004,1.1102756892230579,2.062999345121153,2.070578231292517,8.333333333333334,0.8400000000000001,2.35,2.07,17.661710398445095
2015.0,57.0,20.2,12.7,33.0,125.4,41.4,153.0,47.3,53.5,44.4,22.5,63.8,674.1999999999999,171.10000000000002,194.4,120.4,-6.8,-3.3,0.3,4.2,13.3,17.2,16.8,16.2,13.3,3.5,-0.8,-0.7,6.1000000000000005,2244.375,5.933333333333334,17.0,2086.6,1.8255208333333337,2.0393031513537507,2.0451396406148517,0.5581395348837209,0.7,2.3600000000000003,2.08,18.56527514231499
2016.0,61.4,36.5,17.5,32.1,16.1,87.3,32.6,178.4,78.5,41.6,84.1,50.9,717.0,65.7,119.9,204.2,-13.2,-1.3,-2.1,6.0,14.5,16.9,20.5,18.5,10.6,3.8,-4.5,-5.6,5.341666666666666,1961.6750000000002,6.133333333333333,18.7,2280.3999999999996,1.616872427983539,1.7441396508728182,1.7411944557684467,0.33333333333333337,0.16999999999999998,2.23,1.85,18.302366863905323
2017.0,32.5,33.2,28.2,55.2,61.4,68.0,148.1,28.9,57.7,109.8,55.9,71.2,750.1,144.8,216.1,223.4,-9.9,-7.3,0.8,3.5,8.4,13.4,17.2,17.6,11.7,4.3,-0.8,-1.3,4.800000000000001,1777.875,4.233333333333333,15.3,1871.0,1.6844741235392318,1.668545803971813,1.6541442188147535,11.388888888888888,1.19,1.73,1.9100000000000001,14.626470588235295
2018.0,49.2,25.2,13.5,72.0,44.3,63.9,104.8,90.0,82.5,77.7,31.1,31.2,685.4000000000001,129.8,168.7,191.29999999999998,-5.1,-11.9,-7.4,5.0,13.9,15.7,19.9,18.4,13.0,6.0,-0.7,-7.6,4.933333333333333,1834.9250000000002,3.8333333333333335,17.799999999999997,2009.8000000000002,1.588380716934487,1.7553314789058878,1.75095099574849,36.2,0.32999999999999996,1.6300000000000001,1.77,18.347745664739882
2019.0,57.5,48.1,50.9,31.5,17.6,58.9,146.2,110.2,32.8,105.2,72.4,36.7,768.0,100.0,205.1,210.4,-7.8,-2.8,-0.9,4.9,13.7,18.0,15.5,14.6,10.9,6.0,0.0,-0.1,6.000000000000001,2205.9,5.8999999999999995,16.75,2016.8999999999999,1.6767537826685004,2.0648618288025165,2.035410764872521,30.215384615384615,0.54,1.28,2.12,19.28364705882353
